Original number: 155 current diff number: 0 , quantizated number: 155 , dequantizated number: 155 , decoded number: 155
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 187
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 188
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 188
Original number: 181 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 189
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 190
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 191
Original number: 184 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 192
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 192
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 192
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 193
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 193
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 194
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 195
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 195
Original number: 184 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 196
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 196
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 197
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 197
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 198
Original number: 184 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 200
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 200
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 200
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 201
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 201
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 202
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 202
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 202
Original number: 180 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 204
Original number: 180 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 204
Original number: 181 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 205
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 205
Original number: 180 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 206
Original number: 179 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 207
Original number: 178 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 208
Original number: 178 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 208
Original number: 177 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 209
Original number: 177 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 209
Original number: 176 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 210
Original number: 176 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 210
Original number: 175 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 211
Original number: 174 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 212
Original number: 173 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 213
Original number: 173 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 213
Original number: 171 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 215
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 216
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 217
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 218
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 219
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 220
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 220
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 220
Original number: 165 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 223
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 224
Original number: 168 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 226
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 226
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 226
Original number: 166 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 228
Original number: 165 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 229
Original number: 163 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 231
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 232
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 232
Original number: 163 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 233
Original number: 162 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 234
Original number: 162 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 234
Original number: 161 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 235
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 236
Original number: 160 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 236
Original number: 160 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 236
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 237
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 237
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 238
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 239
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 240
Original number: 156 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 240
Original number: 155 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 241
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 241
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 241
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 241
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 241
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 241
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 241
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 241
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 242
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 243
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 244
Original number: 158 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 244
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 245
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 245
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 246
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 247
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 247
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 247
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 248
Original number: 161 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 249
Original number: 163 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 251
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 252
Original number: 163 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 253
Original number: 163 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 253
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 254
Original number: 166 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 256
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 257
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 258
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 259
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 260
Original number: 168 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 262
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 262
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 263
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 263
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 264
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 265
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 266
Original number: 170 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 266
Original number: 176 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 272
Original number: 176 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 272
Original number: 177 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 273
Original number: 177 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 273
Original number: 178 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 274
Original number: 179 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 275
Original number: 179 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 275
Original number: 180 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 276
Original number: 181 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 277
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 277
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 278
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 278
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 278
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 279
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 279
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 279
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 280
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 280
Original number: 184 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 282
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 282
Original number: 185 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 283
Original number: 185 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 283
Original number: 184 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 284
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 284
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 284
Original number: 185 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 285
Original number: 186 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 286
Original number: 186 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 286
Original number: 186 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 286
Original number: 186 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 286
Original number: 185 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 287
Original number: 184 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 288
Original number: 185 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 289
Original number: 185 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 289
Original number: 184 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 290
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 290
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 290
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 291
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 291
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 291
Original number: 180 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 294
Original number: 180 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 294
Original number: 181 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 295
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 295
Original number: 181 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 295
Original number: 180 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 296
Original number: 179 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 297
Original number: 178 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 298
Original number: 178 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 298
Original number: 178 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 298
Original number: 177 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 299
Original number: 177 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 299
Original number: 176 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 300
Original number: 175 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 301
Original number: 174 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 302
Original number: 174 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 302
Original number: 171 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 305
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 306
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 307
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 308
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 309
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 310
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 310
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 310
Original number: 166 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 312
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 312
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 313
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 314
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 314
Original number: 166 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 316
Original number: 165 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 317
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 318
Original number: 163 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 319
Original number: 163 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 319
Original number: 162 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 320
Original number: 162 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 320
Original number: 161 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 321
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 322
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 323
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 323
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 323
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 324
Original number: 158 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 324
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 325
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 326
Original number: 155 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 327
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 327
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 327
Original number: 153 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 329
Original number: 153 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 329
Original number: 153 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 329
Original number: 153 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 329
Original number: 153 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 329
Original number: 155 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 331
Original number: 155 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 331
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 332
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 333
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 334
Original number: 158 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 334
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 335
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 335
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 336
Original number: 160 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 336
Original number: 159 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 337
Original number: 160 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 338
Original number: 160 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 338
Original number: 162 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 340
Original number: 163 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 341
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 342
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 342
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 342
Original number: 165 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 343
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 344
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 345
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 346
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 347
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 348
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 349
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 350
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 350
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 350
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 350
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 351
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 352
Original number: 171 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 353
Original number: 176 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 358
Original number: 177 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 359
Original number: 177 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 359
Original number: 178 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 360
Original number: 179 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 361
Original number: 180 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 362
Original number: 180 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 362
Original number: 181 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 363
Original number: 182 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 364
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 364
Original number: 182 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 364
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 365
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 365
Original number: 184 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 366
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 366
Original number: 184 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 366
Original number: 183 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 367
Original number: 183 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 367
Original number: 185 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 369
Original number: 186 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 370
Original number: 186 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 370
Original number: 186 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 370
Original number: 185 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 371
Original number: 185 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 371
Original number: 186 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 372
Original number: 187 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 373
Original number: 188 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 374
Original number: 188 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 374
